Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
20240430_072512
/home/paperspace/Desktop/Let-The-Quantum-Creep-In/scripts
Using device cuda
Training Config:
{'framework': 'torch', 'batch_size': 200, 'learning_rate': '5e-4', 'steps': 50, 'print_every_percent': 0.2, 'reps': 5}
____Training with replacement_lvl = 0____
====Training on MNIST====
----Training with rep = 0----
Number of train batches = 300, Number of test batches = 50
Print every train batch = 60, Print every test batch = 10
Training at step=0, batch=0, train loss = 2.2990, train acc = 0.1600, time = 0.2703 seconds
Testing at step=1, batch=10, test loss = 0.2836, test acc = 0.9050, time = 0.0010 seconds
Testing at step=1, batch=20, test loss = 0.1954, test acc = 0.9300, time = 0.0010 seconds
Testing at step=1, batch=30, test loss = 0.3981, test acc = 0.8950, time = 0.0010 seconds
Testing at step=1, batch=40, test loss = 0.2064, test acc = 0.9350, time = 0.0011 seconds
Step 1 finished in 6.1236 seconds, Train loss = 0.3003, Test loss = 0.2796; Train Acc = 0.9145, Test Acc = 0.9223
Training at step=2, batch=0, train loss = 0.2497, train acc = 0.9400, time = 0.0021 seconds
Training at step=2, batch=60, train loss = 0.3266, train acc = 0.8800, time = 0.0019 seconds
Training at step=2, batch=120, train loss = 0.3277, train acc = 0.8900, time = 0.0019 seconds
Training at step=2, batch=180, train loss = 0.3585, train acc = 0.9050, time = 0.0020 seconds
Training at step=2, batch=240, train loss = 0.3154, train acc = 0.9150, time = 0.0019 seconds
Testing at step=2, batch=0, test loss = 0.2185, test acc = 0.9300, time = 0.0011 seconds
Testing at step=2, batch=10, test loss = 0.2574, test acc = 0.9050, time = 0.0010 seconds
Testing at step=2, batch=20, test loss = 0.2850, test acc = 0.9300, time = 0.0011 seconds
Testing at step=2, batch=30, test loss = 0.3234, test acc = 0.9100, time = 0.0010 seconds
Testing at step=2, batch=40, test loss = 0.3218, test acc = 0.9050, time = 0.0011 seconds
Step 2 finished in 6.1344 seconds, Train loss = 0.2900, Test loss = 0.2918; Train Acc = 0.9177, Test Acc = 0.9216
Training at step=3, batch=0, train loss = 0.2667, train acc = 0.9400, time = 0.0021 seconds
Training at step=3, batch=60, train loss = 0.2875, train acc = 0.9250, time = 0.0020 seconds
Training at step=3, batch=120, train loss = 0.3201, train acc = 0.9000, time = 0.0019 seconds
Training at step=3, batch=180, train loss = 0.2383, train acc = 0.9150, time = 0.0020 seconds
Training at step=3, batch=240, train loss = 0.3161, train acc = 0.9100, time = 0.0019 seconds
Testing at step=3, batch=0, test loss = 0.2396, test acc = 0.9250, time = 0.0011 seconds
Testing at step=3, batch=10, test loss = 0.2539, test acc = 0.9350, time = 0.0010 seconds
Testing at step=3, batch=20, test loss = 0.2497, test acc = 0.9450, time = 0.0011 seconds
Testing at step=3, batch=30, test loss = 0.2327, test acc = 0.9200, time = 0.0010 seconds
Testing at step=3, batch=40, test loss = 0.2799, test acc = 0.9300, time = 0.0010 seconds
Step 3 finished in 6.1341 seconds, Train loss = 0.2808, Test loss = 0.2753; Train Acc = 0.9221, Test Acc = 0.9251
Training at step=4, batch=0, train loss = 0.2558, train acc = 0.9200, time = 0.0021 seconds
Training at step=4, batch=60, train loss = 0.2636, train acc = 0.9150, time = 0.0019 seconds
Training at step=4, batch=120, train loss = 0.3467, train acc = 0.9150, time = 0.0019 seconds
Training at step=4, batch=180, train loss = 0.1862, train acc = 0.9450, time = 0.0020 seconds
Training at step=4, batch=240, train loss = 0.1772, train acc = 0.9500, time = 0.0019 seconds
Testing at step=4, batch=0, test loss = 0.1767, test acc = 0.9400, time = 0.0011 seconds
Testing at step=4, batch=10, test loss = 0.2268, test acc = 0.9250, time = 0.0010 seconds
Testing at step=4, batch=20, test loss = 0.3799, test acc = 0.9150, time = 0.0010 seconds
Testing at step=4, batch=30, test loss = 0.2142, test acc = 0.9450, time = 0.0011 seconds
Testing at step=4, batch=40, test loss = 0.5627, test acc = 0.8750, time = 0.0011 seconds
Step 4 finished in 6.1155 seconds, Train loss = 0.2736, Test loss = 0.2800; Train Acc = 0.9239, Test Acc = 0.9218
Training at step=5, batch=0, train loss = 0.1436, train acc = 0.9500, time = 0.0020 seconds
Training at step=5, batch=60, train loss = 0.3203, train acc = 0.9050, time = 0.0019 seconds
Training at step=5, batch=120, train loss = 0.2331, train acc = 0.9350, time = 0.0019 seconds
Training at step=5, batch=180, train loss = 0.2012, train acc = 0.9450, time = 0.0020 seconds
Training at step=5, batch=240, train loss = 0.2492, train acc = 0.9400, time = 0.0019 seconds
Testing at step=5, batch=0, test loss = 0.2628, test acc = 0.9300, time = 0.0011 seconds
Testing at step=5, batch=10, test loss = 0.1313, test acc = 0.9600, time = 0.0011 seconds
Testing at step=5, batch=20, test loss = 0.2458, test acc = 0.9300, time = 0.0010 seconds
Testing at step=5, batch=30, test loss = 0.2629, test acc = 0.9150, time = 0.0011 seconds
Testing at step=5, batch=40, test loss = 0.3101, test acc = 0.9200, time = 0.0011 seconds
Step 5 finished in 6.0889 seconds, Train loss = 0.2701, Test loss = 0.2782; Train Acc = 0.9251, Test Acc = 0.9201
Training at step=6, batch=0, train loss = 0.2134, train acc = 0.9450, time = 0.0020 seconds
Training at step=6, batch=60, train loss = 0.3623, train acc = 0.9150, time = 0.0019 seconds
Training at step=6, batch=120, train loss = 0.2385, train acc = 0.9400, time = 0.0019 seconds
Training at step=6, batch=180, train loss = 0.2972, train acc = 0.9350, time = 0.0019 seconds
Training at step=6, batch=240, train loss = 0.3038, train acc = 0.9300, time = 0.0020 seconds
Testing at step=6, batch=0, test loss = 0.2774, test acc = 0.9300, time = 0.0011 seconds
Testing at step=6, batch=10, test loss = 0.2191, test acc = 0.9250, time = 0.0010 seconds
Testing at step=6, batch=20, test loss = 0.1568, test acc = 0.9500, time = 0.0011 seconds
Testing at step=6, batch=30, test loss = 0.2699, test acc = 0.9200, time = 0.0011 seconds
Testing at step=6, batch=40, test loss = 0.2011, test acc = 0.9400, time = 0.0010 seconds
Step 6 finished in 6.0656 seconds, Train loss = 0.2664, Test loss = 0.2730; Train Acc = 0.9258, Test Acc = 0.9228
Training at step=7, batch=0, train loss = 0.3185, train acc = 0.9200, time = 0.0020 seconds
Training at step=7, batch=60, train loss = 0.2549, train acc = 0.9250, time = 0.0019 seconds
Training at step=7, batch=120, train loss = 0.3404, train acc = 0.9250, time = 0.0019 seconds
Training at step=7, batch=180, train loss = 0.2945, train acc = 0.9350, time = 0.0019 seconds
Training at step=7, batch=240, train loss = 0.3802, train acc = 0.8900, time = 0.0019 seconds
Testing at step=7, batch=0, test loss = 0.2563, test acc = 0.9200, time = 0.0011 seconds
Testing at step=7, batch=10, test loss = 0.3013, test acc = 0.9100, time = 0.0010 seconds
Testing at step=7, batch=20, test loss = 0.2968, test acc = 0.9300, time = 0.0010 seconds
Testing at step=7, batch=30, test loss = 0.2234, test acc = 0.9300, time = 0.0010 seconds
Testing at step=7, batch=40, test loss = 0.2630, test acc = 0.9100, time = 0.0010 seconds
Step 7 finished in 6.0748 seconds, Train loss = 0.2623, Test loss = 0.2802; Train Acc = 0.9272, Test Acc = 0.9216
Training at step=8, batch=0, train loss = 0.2742, train acc = 0.9150, time = 0.0022 seconds
Training at step=8, batch=60, train loss = 0.1839, train acc = 0.9550, time = 0.0019 seconds
Training at step=8, batch=120, train loss = 0.3152, train acc = 0.9100, time = 0.0019 seconds
Training at step=8, batch=180, train loss = 0.2541, train acc = 0.9250, time = 0.0019 seconds
Training at step=8, batch=240, train loss = 0.2483, train acc = 0.9300, time = 0.0019 seconds
Testing at step=8, batch=0, test loss = 0.2438, test acc = 0.9400, time = 0.0011 seconds
Testing at step=8, batch=10, test loss = 0.4711, test acc = 0.8950, time = 0.0011 seconds
Testing at step=8, batch=20, test loss = 0.2514, test acc = 0.9300, time = 0.0010 seconds
Testing at step=8, batch=30, test loss = 0.2950, test acc = 0.9200, time = 0.0011 seconds
Testing at step=8, batch=40, test loss = 0.2180, test acc = 0.9300, time = 0.0011 seconds
Step 8 finished in 6.1242 seconds, Train loss = 0.2594, Test loss = 0.2803; Train Acc = 0.9274, Test Acc = 0.9238
Training at step=9, batch=0, train loss = 0.1750, train acc = 0.9350, time = 0.0021 seconds
Training at step=9, batch=60, train loss = 0.3029, train acc = 0.9350, time = 0.0019 seconds
Training at step=9, batch=120, train loss = 0.1869, train acc = 0.9500, time = 0.0020 seconds
Training at step=9, batch=180, train loss = 0.1402, train acc = 0.9700, time = 0.0020 seconds
Training at step=9, batch=240, train loss = 0.1873, train acc = 0.9350, time = 0.0019 seconds
Testing at step=9, batch=0, test loss = 0.4136, test acc = 0.9050, time = 0.0011 seconds
Testing at step=9, batch=10, test loss = 0.4422, test acc = 0.9100, time = 0.0011 seconds
Testing at step=9, batch=20, test loss = 0.1907, test acc = 0.9550, time = 0.0011 seconds
Testing at step=9, batch=30, test loss = 0.2465, test acc = 0.9100, time = 0.0010 seconds
Testing at step=9, batch=40, test loss = 0.2612, test acc = 0.9300, time = 0.0010 seconds
Step 9 finished in 6.1157 seconds, Train loss = 0.2564, Test loss = 0.2839; Train Acc = 0.9287, Test Acc = 0.9213
Training at step=10, batch=0, train loss = 0.2725, train acc = 0.9350, time = 0.0020 seconds
Training at step=10, batch=60, train loss = 0.2608, train acc = 0.9050, time = 0.0019 seconds
Training at step=10, batch=120, train loss = 0.2101, train acc = 0.9500, time = 0.0019 seconds
Training at step=10, batch=180, train loss = 0.2923, train acc = 0.9250, time = 0.0019 seconds
Training at step=10, batch=240, train loss = 0.3859, train acc = 0.9050, time = 0.0020 seconds
Testing at step=10, batch=0, test loss = 0.3145, test acc = 0.9150, time = 0.0011 seconds
Testing at step=10, batch=10, test loss = 0.3368, test acc = 0.9100, time = 0.0010 seconds
Testing at step=10, batch=20, test loss = 0.3367, test acc = 0.9150, time = 0.0011 seconds
Testing at step=10, batch=30, test loss = 0.3310, test acc = 0.9200, time = 0.0011 seconds
Testing at step=10, batch=40, test loss = 0.2071, test acc = 0.9350, time = 0.0010 seconds
Step 10 finished in 6.1062 seconds, Train loss = 0.2544, Test loss = 0.2804; Train Acc = 0.9286, Test Acc = 0.9237
Training at step=11, batch=0, train loss = 0.3230, train acc = 0.9200, time = 0.0020 seconds
Training at step=11, batch=60, train loss = 0.4801, train acc = 0.8900, time = 0.0019 seconds
Training at step=11, batch=120, train loss = 0.2767, train acc = 0.9100, time = 0.0019 seconds
Training at step=11, batch=180, train loss = 0.2201, train acc = 0.9300, time = 0.0019 seconds
Training at step=11, batch=240, train loss = 0.2933, train acc = 0.9200, time = 0.0019 seconds
Testing at step=11, batch=0, test loss = 0.2656, test acc = 0.9250, time = 0.0011 seconds
Testing at step=11, batch=10, test loss = 0.2136, test acc = 0.9400, time = 0.0011 seconds
Testing at step=11, batch=20, test loss = 0.4005, test acc = 0.9000, time = 0.0010 seconds
Testing at step=11, batch=30, test loss = 0.3333, test acc = 0.8950, time = 0.0010 seconds
Testing at step=11, batch=40, test loss = 0.4832, test acc = 0.8800, time = 0.0011 seconds
Step 11 finished in 6.0990 seconds, Train loss = 0.2524, Test loss = 0.2801; Train Acc = 0.9287, Test Acc = 0.9224
Training at step=12, batch=0, train loss = 0.2640, train acc = 0.9200, time = 0.0020 seconds
Training at step=12, batch=60, train loss = 0.3174, train acc = 0.9050, time = 0.0019 seconds
Training at step=12, batch=120, train loss = 0.2768, train acc = 0.9300, time = 0.0020 seconds
Training at step=12, batch=180, train loss = 0.2700, train acc = 0.9300, time = 0.0019 seconds
Training at step=12, batch=240, train loss = 0.1648, train acc = 0.9600, time = 0.0019 seconds
Testing at step=12, batch=0, test loss = 0.2843, test acc = 0.9250, time = 0.0011 seconds
Testing at step=12, batch=10, test loss = 0.2761, test acc = 0.9400, time = 0.0011 seconds
Testing at step=12, batch=20, test loss = 0.3632, test acc = 0.9100, time = 0.0010 seconds
Testing at step=12, batch=30, test loss = 0.2410, test acc = 0.9250, time = 0.0010 seconds
Testing at step=12, batch=40, test loss = 0.2330, test acc = 0.9300, time = 0.0011 seconds
Step 12 finished in 6.0996 seconds, Train loss = 0.2513, Test loss = 0.2823; Train Acc = 0.9286, Test Acc = 0.9215
Training at step=13, batch=0, train loss = 0.3031, train acc = 0.9100, time = 0.0021 seconds
Training at step=13, batch=60, train loss = 0.2531, train acc = 0.9050, time = 0.0019 seconds
Training at step=13, batch=120, train loss = 0.2830, train acc = 0.9050, time = 0.0019 seconds
Training at step=13, batch=180, train loss = 0.2023, train acc = 0.9250, time = 0.0019 seconds
Training at step=13, batch=240, train loss = 0.3166, train acc = 0.9000, time = 0.0019 seconds
Testing at step=13, batch=0, test loss = 0.2077, test acc = 0.9550, time = 0.0011 seconds
Testing at step=13, batch=10, test loss = 0.2688, test acc = 0.9250, time = 0.0010 seconds
Testing at step=13, batch=20, test loss = 0.2396, test acc = 0.9300, time = 0.0010 seconds
Testing at step=13, batch=30, test loss = 0.2281, test acc = 0.9250, time = 0.0010 seconds
Testing at step=13, batch=40, test loss = 0.2758, test acc = 0.9150, time = 0.0011 seconds
Step 13 finished in 6.0995 seconds, Train loss = 0.2492, Test loss = 0.2833; Train Acc = 0.9304, Test Acc = 0.9213
Training at step=14, batch=0, train loss = 0.1153, train acc = 0.9750, time = 0.0021 seconds
Training at step=14, batch=60, train loss = 0.2002, train acc = 0.9300, time = 0.0019 seconds
Training at step=14, batch=120, train loss = 0.3263, train acc = 0.8900, time = 0.0019 seconds
Training at step=14, batch=180, train loss = 0.2488, train acc = 0.9050, time = 0.0019 seconds
Training at step=14, batch=240, train loss = 0.2918, train acc = 0.9250, time = 0.0019 seconds
Testing at step=14, batch=0, test loss = 0.2037, test acc = 0.9350, time = 0.0011 seconds
Testing at step=14, batch=10, test loss = 0.2229, test acc = 0.9400, time = 0.0010 seconds
Testing at step=14, batch=20, test loss = 0.3102, test acc = 0.9200, time = 0.0010 seconds
Testing at step=14, batch=30, test loss = 0.4044, test acc = 0.9000, time = 0.0010 seconds
Testing at step=14, batch=40, test loss = 0.2992, test acc = 0.9250, time = 0.0011 seconds
Step 14 finished in 6.1005 seconds, Train loss = 0.2470, Test loss = 0.2908; Train Acc = 0.9310, Test Acc = 0.9205
Training at step=15, batch=0, train loss = 0.1931, train acc = 0.9650, time = 0.0021 seconds
Training at step=15, batch=60, train loss = 0.3850, train acc = 0.8950, time = 0.0020 seconds
Training at step=15, batch=120, train loss = 0.1881, train acc = 0.9500, time = 0.0019 seconds
Training at step=15, batch=180, train loss = 0.2580, train acc = 0.9350, time = 0.0019 seconds
Training at step=15, batch=240, train loss = 0.3226, train acc = 0.9050, time = 0.0019 seconds
Testing at step=15, batch=0, test loss = 0.2640, test acc = 0.9400, time = 0.0011 seconds
Testing at step=15, batch=10, test loss = 0.2188, test acc = 0.9250, time = 0.0011 seconds
Testing at step=15, batch=20, test loss = 0.3172, test acc = 0.9100, time = 0.0010 seconds
Testing at step=15, batch=30, test loss = 0.2775, test acc = 0.9400, time = 0.0010 seconds
Testing at step=15, batch=40, test loss = 0.3117, test acc = 0.9300, time = 0.0010 seconds
Step 15 finished in 6.0877 seconds, Train loss = 0.2467, Test loss = 0.2807; Train Acc = 0.9306, Test Acc = 0.9248
Training at step=16, batch=0, train loss = 0.1781, train acc = 0.9550, time = 0.0021 seconds
Training at step=16, batch=60, train loss = 0.2484, train acc = 0.9300, time = 0.0019 seconds
Training at step=16, batch=120, train loss = 0.2409, train acc = 0.9250, time = 0.0019 seconds
Training at step=16, batch=180, train loss = 0.3205, train acc = 0.8950, time = 0.0019 seconds
Training at step=16, batch=240, train loss = 0.1551, train acc = 0.9450, time = 0.0019 seconds
Testing at step=16, batch=0, test loss = 0.2694, test acc = 0.8950, time = 0.0011 seconds
Testing at step=16, batch=10, test loss = 0.3602, test acc = 0.8850, time = 0.0011 seconds
Testing at step=16, batch=20, test loss = 0.3102, test acc = 0.9200, time = 0.0011 seconds
Testing at step=16, batch=30, test loss = 0.3600, test acc = 0.8950, time = 0.0010 seconds
Testing at step=16, batch=40, test loss = 0.3675, test acc = 0.8950, time = 0.0011 seconds
Step 16 finished in 6.1195 seconds, Train loss = 0.2452, Test loss = 0.2860; Train Acc = 0.9309, Test Acc = 0.9196
Training at step=17, batch=0, train loss = 0.1570, train acc = 0.9450, time = 0.0020 seconds
Training at step=17, batch=60, train loss = 0.2794, train acc = 0.9150, time = 0.0020 seconds
Training at step=17, batch=120, train loss = 0.2168, train acc = 0.9250, time = 0.0019 seconds
Training at step=17, batch=180, train loss = 0.2495, train acc = 0.9250, time = 0.0019 seconds
Training at step=17, batch=240, train loss = 0.1632, train acc = 0.9550, time = 0.0019 seconds
Testing at step=17, batch=0, test loss = 0.3854, test acc = 0.8900, time = 0.0011 seconds
Testing at step=17, batch=10, test loss = 0.2759, test acc = 0.9400, time = 0.0010 seconds
Testing at step=17, batch=20, test loss = 0.3281, test acc = 0.9300, time = 0.0011 seconds
Testing at step=17, batch=30, test loss = 0.2410, test acc = 0.9300, time = 0.0010 seconds
Testing at step=17, batch=40, test loss = 0.3271, test acc = 0.9300, time = 0.0010 seconds
Step 17 finished in 6.0991 seconds, Train loss = 0.2456, Test loss = 0.2830; Train Acc = 0.9309, Test Acc = 0.9224
Training at step=18, batch=0, train loss = 0.2621, train acc = 0.9300, time = 0.0021 seconds
Training at step=18, batch=60, train loss = 0.2895, train acc = 0.9400, time = 0.0019 seconds
Training at step=18, batch=120, train loss = 0.2030, train acc = 0.9400, time = 0.0020 seconds
Training at step=18, batch=180, train loss = 0.2433, train acc = 0.9250, time = 0.0019 seconds
Training at step=18, batch=240, train loss = 0.2461, train acc = 0.9300, time = 0.0019 seconds
Testing at step=18, batch=0, test loss = 0.3892, test acc = 0.9200, time = 0.0010 seconds
Testing at step=18, batch=10, test loss = 0.1917, test acc = 0.9400, time = 0.0010 seconds
Testing at step=18, batch=20, test loss = 0.1760, test acc = 0.9200, time = 0.0010 seconds
Testing at step=18, batch=30, test loss = 0.3037, test acc = 0.9050, time = 0.0010 seconds
Testing at step=18, batch=40, test loss = 0.2710, test acc = 0.9350, time = 0.0010 seconds
Step 18 finished in 6.1149 seconds, Train loss = 0.2433, Test loss = 0.2806; Train Acc = 0.9312, Test Acc = 0.9241
Training at step=19, batch=0, train loss = 0.1760, train acc = 0.9350, time = 0.0021 seconds
Training at step=19, batch=60, train loss = 0.1937, train acc = 0.9300, time = 0.0019 seconds
Training at step=19, batch=120, train loss = 0.1360, train acc = 0.9700, time = 0.0019 seconds
Training at step=19, batch=180, train loss = 0.2132, train acc = 0.9300, time = 0.0020 seconds
Training at step=19, batch=240, train loss = 0.2513, train acc = 0.9200, time = 0.0019 seconds
Testing at step=19, batch=0, test loss = 0.3419, test acc = 0.9200, time = 0.0011 seconds
Testing at step=19, batch=10, test loss = 0.3000, test acc = 0.9250, time = 0.0011 seconds
Testing at step=19, batch=20, test loss = 0.2869, test acc = 0.9200, time = 0.0010 seconds
Testing at step=19, batch=30, test loss = 0.3377, test acc = 0.9200, time = 0.0011 seconds
Testing at step=19, batch=40, test loss = 0.2240, test acc = 0.9550, time = 0.0011 seconds
Step 19 finished in 6.1178 seconds, Train loss = 0.2432, Test loss = 0.2848; Train Acc = 0.9319, Test Acc = 0.9227
Training at step=20, batch=0, train loss = 0.2246, train acc = 0.9100, time = 0.0023 seconds
Training at step=20, batch=60, train loss = 0.2140, train acc = 0.9300, time = 0.0020 seconds
Training at step=20, batch=120, train loss = 0.3678, train acc = 0.9050, time = 0.0020 seconds
Training at step=20, batch=180, train loss = 0.2190, train acc = 0.9450, time = 0.0019 seconds
Training at step=20, batch=240, train loss = 0.3666, train acc = 0.9200, time = 0.0019 seconds
Testing at step=20, batch=0, test loss = 0.3077, test acc = 0.9150, time = 0.0011 seconds
Testing at step=20, batch=10, test loss = 0.2764, test acc = 0.9350, time = 0.0011 seconds
Testing at step=20, batch=20, test loss = 0.4062, test acc = 0.8950, time = 0.0011 seconds
Testing at step=20, batch=30, test loss = 0.2094, test acc = 0.9350, time = 0.0010 seconds
Testing at step=20, batch=40, test loss = 0.2935, test acc = 0.9100, time = 0.0011 seconds
Step 20 finished in 6.1088 seconds, Train loss = 0.2420, Test loss = 0.2820; Train Acc = 0.9316, Test Acc = 0.9239
Training at step=21, batch=0, train loss = 0.2662, train acc = 0.9100, time = 0.0022 seconds
Training at step=21, batch=60, train loss = 0.2269, train acc = 0.9500, time = 0.0019 seconds
Training at step=21, batch=120, train loss = 0.2796, train acc = 0.9150, time = 0.0020 seconds
Training at step=21, batch=180, train loss = 0.3566, train acc = 0.9000, time = 0.0019 seconds
Training at step=21, batch=240, train loss = 0.2379, train acc = 0.9450, time = 0.0019 seconds
Testing at step=21, batch=0, test loss = 0.1981, test acc = 0.9400, time = 0.0011 seconds
Testing at step=21, batch=10, test loss = 0.2404, test acc = 0.9200, time = 0.0011 seconds
Testing at step=21, batch=20, test loss = 0.2271, test acc = 0.9300, time = 0.0010 seconds
Testing at step=21, batch=30, test loss = 0.2310, test acc = 0.9350, time = 0.0011 seconds
Testing at step=21, batch=40, test loss = 0.2524, test acc = 0.9500, time = 0.0010 seconds
Step 21 finished in 6.1039 seconds, Train loss = 0.2397, Test loss = 0.2843; Train Acc = 0.9326, Test Acc = 0.9231
Training at step=22, batch=0, train loss = 0.3048, train acc = 0.9150, time = 0.0020 seconds
Training at step=22, batch=60, train loss = 0.1849, train acc = 0.9400, time = 0.0019 seconds
Training at step=22, batch=120, train loss = 0.2207, train acc = 0.9300, time = 0.0019 seconds
Training at step=22, batch=180, train loss = 0.1535, train acc = 0.9500, time = 0.0019 seconds
Training at step=22, batch=240, train loss = 0.1855, train acc = 0.9400, time = 0.0019 seconds
Testing at step=22, batch=0, test loss = 0.2813, test acc = 0.9050, time = 0.0011 seconds
Testing at step=22, batch=10, test loss = 0.2782, test acc = 0.9250, time = 0.0010 seconds
Testing at step=22, batch=20, test loss = 0.2388, test acc = 0.9300, time = 0.0011 seconds
Testing at step=22, batch=30, test loss = 0.3554, test acc = 0.9150, time = 0.0010 seconds
Testing at step=22, batch=40, test loss = 0.2654, test acc = 0.9250, time = 0.0011 seconds
Step 22 finished in 6.0945 seconds, Train loss = 0.2405, Test loss = 0.2832; Train Acc = 0.9324, Test Acc = 0.9237
Training at step=23, batch=0, train loss = 0.2303, train acc = 0.9350, time = 0.0022 seconds
Training at step=23, batch=60, train loss = 0.3138, train acc = 0.9350, time = 0.0019 seconds
Training at step=23, batch=120, train loss = 0.2292, train acc = 0.9200, time = 0.0019 seconds
Training at step=23, batch=180, train loss = 0.2509, train acc = 0.9100, time = 0.0019 seconds
Training at step=23, batch=240, train loss = 0.1611, train acc = 0.9450, time = 0.0019 seconds
Testing at step=23, batch=0, test loss = 0.2958, test acc = 0.9200, time = 0.0011 seconds
Testing at step=23, batch=10, test loss = 0.2229, test acc = 0.9300, time = 0.0011 seconds
Testing at step=23, batch=20, test loss = 0.2851, test acc = 0.9250, time = 0.0010 seconds
Testing at step=23, batch=30, test loss = 0.1676, test acc = 0.9550, time = 0.0010 seconds
Testing at step=23, batch=40, test loss = 0.2598, test acc = 0.9400, time = 0.0010 seconds
Step 23 finished in 6.1054 seconds, Train loss = 0.2402, Test loss = 0.2881; Train Acc = 0.9325, Test Acc = 0.9256
Training at step=24, batch=0, train loss = 0.1844, train acc = 0.9650, time = 0.0020 seconds
Training at step=24, batch=60, train loss = 0.1762, train acc = 0.9550, time = 0.0020 seconds
Training at step=24, batch=120, train loss = 0.2693, train acc = 0.9100, time = 0.0019 seconds
Training at step=24, batch=180, train loss = 0.1776, train acc = 0.9250, time = 0.0019 seconds
Training at step=24, batch=240, train loss = 0.2535, train acc = 0.9300, time = 0.0019 seconds
Testing at step=24, batch=0, test loss = 0.1918, test acc = 0.9600, time = 0.0011 seconds
Testing at step=24, batch=10, test loss = 0.3120, test acc = 0.9000, time = 0.0010 seconds
Testing at step=24, batch=20, test loss = 0.3345, test acc = 0.9350, time = 0.0011 seconds
Testing at step=24, batch=30, test loss = 0.2330, test acc = 0.9600, time = 0.0010 seconds
Testing at step=24, batch=40, test loss = 0.2459, test acc = 0.9550, time = 0.0011 seconds
Step 24 finished in 6.0908 seconds, Train loss = 0.2393, Test loss = 0.2839; Train Acc = 0.9324, Test Acc = 0.9241
Training at step=25, batch=0, train loss = 0.1612, train acc = 0.9550, time = 0.0020 seconds
Training at step=25, batch=60, train loss = 0.1989, train acc = 0.9350, time = 0.0019 seconds
Training at step=25, batch=120, train loss = 0.2835, train acc = 0.9300, time = 0.0019 seconds
Training at step=25, batch=180, train loss = 0.2918, train acc = 0.9200, time = 0.0019 seconds
Training at step=25, batch=240, train loss = 0.1815, train acc = 0.9450, time = 0.0020 seconds
Testing at step=25, batch=0, test loss = 0.2394, test acc = 0.9350, time = 0.0010 seconds
Testing at step=25, batch=10, test loss = 0.1478, test acc = 0.9450, time = 0.0011 seconds
Testing at step=25, batch=20, test loss = 0.3084, test acc = 0.9100, time = 0.0010 seconds
Testing at step=25, batch=30, test loss = 0.3647, test acc = 0.9100, time = 0.0011 seconds
Testing at step=25, batch=40, test loss = 0.3300, test acc = 0.8900, time = 0.0010 seconds
Step 25 finished in 6.0776 seconds, Train loss = 0.2379, Test loss = 0.2923; Train Acc = 0.9324, Test Acc = 0.9223
Training at step=26, batch=0, train loss = 0.2466, train acc = 0.9400, time = 0.0022 seconds
Training at step=26, batch=60, train loss = 0.3097, train acc = 0.9250, time = 0.0020 seconds
Training at step=26, batch=120, train loss = 0.2868, train acc = 0.9100, time = 0.0019 seconds
Training at step=26, batch=180, train loss = 0.3291, train acc = 0.9100, time = 0.0019 seconds
Training at step=26, batch=240, train loss = 0.3740, train acc = 0.9250, time = 0.0019 seconds
